subregion,avg_n_retention_ratio_2020,stdev_n_retention_ratio_2020,valid_count_n_retention_ratio_2020,count_n_retention_ratio_2020,p5_n_retention_ratio_2020,p95_n_retention_ratio_2020,avg_n_retention_ratio_diff_1992_2020,stdev_n_retention_ratio_diff_1992_2020,valid_count_n_retention_ratio_diff_1992_2020,count_n_retention_ratio_diff_1992_2020,p5_n_retention_ratio_diff_1992_2020,p95_n_retention_ratio_diff_1992_2020,avg_sed_retention_ratio_2020,stdev_sed_retention_ratio_2020,valid_count_sed_retention_ratio_2020,count_sed_retention_ratio_2020,p5_sed_retention_ratio_2020,p95_sed_retention_ratio_2020,avg_sed_retention_ratio_1992,stdev_sed_retention_ratio_1992,valid_count_sed_retention_ratio_1992,count_sed_retention_ratio_1992,p5_sed_retention_ratio_1992,p95_sed_retention_ratio_1992,avg_n_retention_ratio_1992,stdev_n_retention_ratio_1992,valid_count_n_retention_ratio_1992,count_n_retention_ratio_1992,p5_n_retention_ratio_1992,p95_n_retention_ratio_1992,avg_sed_retention_ratio_diff_1992_2020,stdev_sed_retention_ratio_diff_1992_2020,valid_count_sed_retention_ratio_diff_1992_2020,count_sed_retention_ratio_diff_1992_2020,p5_sed_retention_ratio_diff_1992_2020,p95_sed_retention_ratio_diff_1992_2020
Antarctica,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,
Australia and New Zealand,0.7972835731378566,0.13569593414266556,80591752,94223589,0.63998142182827,0.9405399560928345,0.0013119365772631558,0.07748470660197916,80559737,94223589,-0.03351777791976929,0.04135174751281756,0.9339264626144445,0.04299789052956973,85471192,94223600,0.863358199596405,0.980786919593811,0.933373645862853,0.04316333925899445,85462263,94223600,0.8621070981025696,0.9809905290603638,0.7959558575590318,0.13547675933661535,80590831,94223589,0.6379849314689636,0.9401333034038544,0.0005504851275157186,0.015678735879259685,85449544,94223600,-0.009427666664123535,0.013276755809783936
Caribbean,0.8369553480661831,0.18792801734267817,1629963,2645620,0.4046864330768586,0.992458164691925,0.001402397357425108,0.07832884222944958,1629249,2645620,-0.034543514251708984,0.030852910876274103,0.9488612369653147,0.12887888437419498,1851790,2645613,0.8603415846824646,0.9918393552303314,0.9479409786378813,0.1323403707138276,1850940,2645613,0.8593125909566879,0.991685688495636,0.8354567076959122,0.18861965577495343,1630463,2645620,0.4035640895366669,0.9926421642303467,0.0008866709410456504,0.05096078577129944,1849361,2645613,-0.00821983814239502,0.015954256057739258
Central America,0.8359184757262448,0.1709786878322859,24193187,28247870,0.41436165869235997,0.9853796184062957,-0.001992737626428393,0.08002803038396827,24189681,28247870,-0.03413814306259155,0.019985675811767578,0.9430233359762125,0.09477115204678227,25428077,28247857,0.8586224794387818,0.990558385848999,0.9439813880851857,0.10232234096077279,25439188,28247857,0.8612322211265564,0.9908762574195862,0.8378664279294455,0.16702192529354618,24205135,28247870,0.4330610275268555,0.984364926815033,-0.0009603068364249149,0.07788510495459201,25424312,28247857,-0.016970515251159668,0.010248151421546892
Central Asia,0.7680324755345089,0.2221938880976663,44151883,60410377,0.01261110082268715,0.9989853501319885,0.01202949086443626,0.12900968309552563,43944524,60410377,-0.034742653369903564,0.08140980303287515,0.9123306828350726,0.05736479555226216,47477614,60409988,0.8062789440155029,0.9721837043762207,0.9113063019707744,0.057738476080042914,47460328,60409988,0.80474454164505,0.9720602631568909,0.7561610385680185,0.23864042780927391,44146940,60410377,0.00793031929060817,0.9994142651557922,0.0010163982328148934,0.009292686751257873,47436089,60409988,-0.0057520270347595215,0.012727677822113037
Eastern Africa,0.8501007359171785,0.13643402631575868,66029577,75382071,0.673814594745636,0.958745002746582,0.0015604860241576317,0.07313081920624762,66006719,75382071,-0.04360198974609375,0.05273860692977905,0.9441089357672131,0.05498062091338563,67510756,75381778,0.8449236750602722,0.9887683987617493,0.9440572615556867,0.05631745357556058,67536272,75381778,0.8451399207115173,0.9887798428535461,0.8485874816342225,0.13906066084041507,66079424,75382071,0.670507499575615,0.9600958228111267,4.8956231221944515e-05,0.026316814014962924,67484357,75381778,-0.013651371002197266,0.015417695045471191
Eastern Asia,0.7374500561789348,0.2584246502063031,116036376,155856341,0.0583973890170455,0.9970578551292419,-0.0029365781422703383,0.1447883940290968,115860679,155856341,-0.07786762714385986,0.053184688091278076,0.9035287709664943,0.1483633668896071,114621749,155855801,0.7836776971817017,0.9807344079017639,0.9037087356137239,0.15185557858900228,114631385,155855801,0.7822604775428772,0.9816960096359253,0.7400041071466931,0.25716001619192436,116382500,155856341,0.016815544944256564,0.997480034828186,-0.0001841455797993165,0.10141991236003721,114579628,155855801,-0.01587367057800293,0.01671689748764038
Eastern Europe,0.8562834058393551,0.15203101598902685,142935714,174781344,0.5939973592758179,0.9766911864280701,-0.0011561854161011753,0.06521741092945484,142888265,174781344,-0.017032134532928456,0.015998482704162598,0.9533096967312987,0.050540385185919176,147466487,174782161,0.8576794862747192,0.9929890632629395,0.9534576816529479,0.04912711627377106,147505974,174782161,0.8565675616264343,0.9930334687232971,0.8574452822826005,0.14902315299051036,143005874,174781344,0.6055528521537781,0.9757034182548523,-0.00014502055225977986,0.01912434548205397,147416484,174782161,-0.008406221866607666,0.007787168025970459
Melanesia,0.9075373723974423,0.08585811758142886,4004426,5892012,0.8446268290281296,0.9651853889226913,-0.002126343410001999,0.04024558477230592,3967027,5892012,-0.0152983546257019,0.0034972667694091464,0.9697076420883569,0.10474026510306096,4378332,5899015,0.9110417753458023,0.9936006665229797,0.9717653938312749,0.21687856779122466,4377890,5899015,0.9226153761148452,0.9936206936836243,0.9096297577707301,0.08293773118467754,3991549,5892012,0.8545600414276123,0.96482173204422,-0.0020570481359695235,0.23201430034798484,4375304,5899015,-0.018250465393066406,0.007958224415779092
Micronesia,,,0,51701,,,,,0,51701,,,,,0,51707,,,,,0,51707,,,,,0,51701,,,,,0,51707,,
Middle Africa,0.8839546192496878,0.09133751033823229,57100334,70171906,0.7658688426017761,0.9511793255805969,-0.0003090159169078294,0.04669435332035255,57071418,70171906,-0.017327734827995295,0.015360891819000244,0.966778390642947,0.033209986242432044,59421444,70171457,0.903550922870636,0.9928414821624756,0.9673368117645235,0.03208276112801642,59413949,70171457,0.9070224761962891,0.9928797483444214,0.8843806988183188,0.09223418373996638,57309030,70171906,0.7684863477945327,0.95237135887146,-0.0005601412721997837,0.010935380516153234,59401142,70171457,-0.009144484996795654,0.0062819719314575195
Northern Africa,0.746182769009581,0.2489095935499859,17577794,88950618,0.005998822976835072,0.9986306428909302,0.0022756492475194483,0.15546025937991412,17558394,88950618,-0.06993693709373473,0.06519009768962858,0.8923114166692269,0.07449356132642486,17576580,88950658,0.7641126483678817,0.9724301099777222,0.8922315457949533,0.07474107416110577,17576238,88950658,0.7632858753204346,0.9717159271240234,0.743757727397844,0.251533690261577,17612656,88950618,0.005851063295267522,0.9990415573120117,7.298119330638354e-05,0.02021115054681698,17571781,88950658,-0.010112226009368896,0.01164919137954712
Northern America,0.8262779387301461,0.22449718955912154,176099718,218051481,0.18280557841062545,0.9955490827560425,-0.0019495844139677957,0.07230120199635273,175996531,218051481,-0.011856794357299805,0.010275959968566895,0.9547180205597712,0.12608404808907947,175045528,218051517,0.8770157098770142,0.9934934377670288,0.9553862270725341,0.14699263684578223,175225754,218051517,0.8779894113540649,0.9935712218284607,0.8281594386799745,0.22221925006505458,176194961,218051481,0.19668084383010864,0.9951004385948181,-0.0006482756784457035,0.08323776324192517,174842621,218051517,-0.007293045520782471,0.0028717517852783203
Northern Europe,0.7992959623253413,0.22144680074456286,8255098,13894451,0.20793713852763182,0.9920168012380599,-0.005704823434600765,0.10758386983580653,8252176,13894451,-0.0645948201417923,0.04081282019615173,0.9440936565403414,0.22407686131915894,8877159,13894427,0.8607206344604492,0.9931078553199768,0.945213127058978,0.2212525056316612,8880923,13894427,0.8616869032382966,0.9934080839157104,0.8050476223689513,0.2154307007981842,8258304,13894451,0.22340190932154658,0.9913865238428116,-0.0011158448043068418,0.0983561210988319,8871350,13894427,-0.012221455574035645,0.00687408447265625
Polynesia,,,0,111887,,,,,0,111887,,,,,0,111903,,,,,0,111903,,,,,0,111887,,,,,0,111903,,
Seven seas (open ocean),,,0,222071,,,,,0,222071,,,,,0,219869,,,,,0,219869,,,,,0,222071,,,,,0,219869,,
South America,0.8606065934942718,0.16176809142370044,174463790,199669610,0.5579611659049988,0.9775651693344116,-0.0025474801029507126,0.07652354385215732,174345952,199669610,-0.03528189659118652,0.020967854559421184,0.9496784675234939,0.08732556081881489,178863114,199669348,0.8424251079559326,0.9939193725585938,0.95104490555555,0.09176373368453972,179054460,199669348,0.8422964215278625,0.9940398931503296,0.8631616670292728,0.15909651857129273,174675301,199669610,0.5679917335510254,0.9740532040596008,-0.001336414006732101,0.031031477172379352,178795595,199669348,-0.016543567180633545,0.0057732462882995605
South-Eastern Asia,0.8309407138447955,0.1842236461470473,37449401,48558341,0.368539959192276,0.9889889359474182,-0.005806786332812329,0.10797573948942032,37391277,48558341,-0.09238030910491943,0.042720139026641846,0.9414028368127504,0.21505064931602555,40756444,48558189,0.8373175859451294,0.9910327196121216,0.9433501656476028,0.22893989366032033,40770587,48558189,0.8399744212627411,0.9918112754821777,0.8368275032355287,0.17919118587790728,37475329,48558341,0.3927808463573456,0.9896418452262878,-0.0019417239169749493,0.10585263281879467,40745341,48558189,-0.029922842979431152,0.01725602149963379
Southern Africa,0.8238579608133098,0.1313195861342333,26859630,31173596,0.6396456360816956,0.9470421403646467,-0.0006198424636665065,0.06068422468848412,26851877,31173596,-0.019624292850494385,0.02617579698562622,0.9350251603034923,0.05997664440964194,28138969,31173464,0.8527720808982849,0.9782915711402893,0.9354691432685528,0.21918280741977136,28138771,31173464,0.853206068277359,0.9780813455581665,0.824521471387588,0.12964771743222953,26907064,31173596,0.6464719176292419,0.9446615487337111,-0.00044118230765470735,0.21135310380710293,28134962,31173464,-0.007850229740142822,0.006522417068481445
Southern Asia,0.7404396629918177,0.2481599506996903,59141116,79703387,0.007964599877595901,0.9988435506820679,0.00026909285243192595,0.11979597965978664,59093185,79703387,-0.03152136802673339,0.02083069086074829,0.8917935395260931,0.10233920946944403,56796886,79703144,0.7573537826538086,0.9766460657119751,0.8911710554649416,0.11130182439353277,56813654,79703144,0.7568388372659683,0.9767268508672711,0.7401534663533257,0.25118071455137936,59167497,79703387,0.007206857111304999,0.9991160035133362,0.0006240529032093582,0.03853221787737906,56776305,79703144,-0.006844460964202881,0.011732876300811768
Southern Europe,0.7651609895251872,0.24575064281010967,14842270,18494241,0.17143722623586655,0.9936199188232422,-0.0007435119079431215,0.1107221324130707,14833161,18494241,-0.05415087938308716,0.05481785535812378,0.9061603248440406,0.2286775986815422,15896613,18494015,0.7866966009140015,0.9794583916664124,0.9064454479111372,0.168497506306383,15903534,18494015,0.7850281000137329,0.9803286194801331,0.7659558513967806,0.24481083987196392,14843097,18494241,0.17274666726589202,0.9936006665229797,-0.0002910070694389692,0.21058757090728375,15894724,18494015,-0.022895514965057373,0.020245006680488564
Western Africa,0.8169905313787471,0.15860034355982894,38179265,66122194,0.645990788936615,0.9647216200828552,0.002576457533894562,0.11144818081610557,38171831,66122194,-0.05778023600578308,0.06998500227928162,0.9285351519524995,0.07446951069552306,37576348,66121581,0.846211850643158,0.9808631539344788,0.9289261256632886,0.07804941177044743,37598077,66121581,0.8485731959342957,0.9798210263252258,0.8143919582037504,0.15822267680487714,38204002,66122194,0.6431440204381943,0.9636244773864746,-0.00038438859382557096,0.03726660939802204,37566113,66121581,-0.020537495613098145,0.01728910207748413
Western Asia,0.6927657801305089,0.26654382306182,19145976,54537086,0.00562081066891551,0.99641352891922,0.00037312026951058443,0.1194933104820023,19123748,54537086,-0.03975299596786497,0.038894790410995306,0.8639893365002975,0.6278385426136862,19356497,54536791,0.7305786967277527,0.9661561846733093,0.8628201256334309,0.6918260404765058,19353925,54536791,0.7291252970695495,0.966825532913208,0.6922772494548289,0.2672576223516345,19153163,54537086,0.005593092599883677,0.998680591583252,0.0011323462607610206,0.1363916787793088,19341683,54536791,-0.011153340339660645,0.02063780426979056
Western Europe,0.7722193548564344,0.2624728874140354,16015474,18423704,0.12797298952937125,0.9968050718307495,-0.002818277656624051,0.1252789423179022,16009275,18423704,-0.06165152788162227,0.04237335920333862,0.9284414796846574,0.08411325596193031,16763734,18423537,0.8267677217721939,0.9897662401199341,0.9289915861392706,0.08311655512260652,16767689,18423537,0.8266230463981629,0.9898037314414978,0.7750563656662149,0.25815399833992775,16016399,18423704,0.13348761051893235,0.996802031993866,-0.000542846998551186,0.029381316394765843,16760260,18423537,-0.016155719757080078,0.012654364109039307
