income_grp,service,mean_val,stdev_val,valid_count,se_val,sym_pct_change,status_abs,status_pct
1. High income: OECD,C_Risk,0.0019564058143085,0.0451054647509538,578226,5.9317160608099785e-5,0.07696639551025374,Bad,Bad
1. High income: OECD,C_Risk_Red_Ratio,-7.633623287966e-4,0.0162689583105863,578226,2.1394933371462953e-5,-0.8243072440698249,Bad,Bad
1. High income: OECD,N_export,0.02226953,2.394821247038652,326754612,1.3248363622117307e-4,0.7459081954778476,Bad,Bad
1. High income: OECD,N_Ret_Ratio,-0.0012820739,0.08327953485363289,303143992,4.783147880148501e-6,-0.1538833098004427,Bad,Bad
1. High income: OECD,Nature_Access,-4171.8257,212721.75766945037,7980672,75.29951549912299,-5.675467016204673,Bad,Bad
1. High income: OECD,Pollination,0.019348798,0.6736195304401794,49695605,9.555549778396784e-5,5.180087083473272,Good,Good
1. High income: OECD,Sed_export,0.12706849,13.896671417877467,332789649,7.617735410188757e-4,5.85760541579276,Bad,Bad
1. High income: OECD,Sed_Ret_Ratio,-3.5949305e-4,0.07846107172790234,309675973,4.458620213573839e-6,-0.0397780665519747,Bad,Bad
2. High income: nonOECD,C_Risk,3.398249206278e-4,0.0223266843339421,120363,6.43543236362264e-5,0.013329620699131376,Bad,Bad
2. High income: nonOECD,C_Risk_Red_Ratio,-9.889703346103338e-5,0.0081783080645533,120363,2.3573114400283e-5,-0.14896526936916593,Bad,Bad
2. High income: nonOECD,N_export,0.023174712,0.8061435483420307,26031312,1.580026437955516e-4,9.166051490046758,Bad,Bad
2. High income: nonOECD,N_Ret_Ratio,-0.0024261824,0.13862119135188458,4616478,6.451701145223782e-5,-0.3263278646305042,Bad,Bad
2. High income: nonOECD,Nature_Access,-583.6041,100226.04914513846,1161075,93.01446105834503,-5.0993804417557005,Bad,Bad
2. High income: nonOECD,Pollination,0.1335081,1.2400803415353312,565531,0.0016490036419744432,18.717025654136044,Good,Good
2. High income: nonOECD,Sed_export,1.3220942,65.03871296659773,4094035,0.03214372197120335,10.554474392006409,Bad,Bad
2. High income: nonOECD,Sed_Ret_Ratio,-0.0014733669,0.08107321916107413,3141973,4.573789714077647e-5,-0.16229630197245207,Bad,Bad
3. Upper middle income,C_Risk,2.036617286828e-4,0.049840939658863,379686,8.088610625936949e-5,0.007907145075648029,Bad,Bad
3. Upper middle income,C_Risk_Red_Ratio,-9.076630006322185e-5,0.0170253115472441,379686,2.763012030541384e-5,-0.09628469307695676,Bad,Bad
3. Upper middle income,N_export,0.062773176,2.814371314889851,615221404,1.1346598233691167e-4,2.2550653484531606,Bad,Bad
3. Upper middle income,N_Ret_Ratio,-7.8014313e-4,0.09816366690553728,515666542,4.3228114796346455e-6,-0.08081022523803309,Bad,Bad
3. Upper middle income,Nature_Access,-2685.481,203798.0840576775,15043821,52.543744362006585,-15.808371072587551,Bad,Bad
3. Upper middle income,Pollination,0.01824375,0.43871788929110817,104681859,4.287949188976604e-5,7.840453195609419,Good,Good
3. Upper middle income,Sed_export,0.007415448,23.413248733758444,560050214,9.893459839447618e-4,0.08396006982728316,Bad,Bad
3. Upper middle income,Sed_Ret_Ratio,-4.5986037e-4,0.07903540141945768,525624905,3.4473366463060827e-6,-0.0507265986790111,Bad,Bad
4. Lower middle income,C_Risk,-3.855807338307806e-5,0.0445507842688227,233365,9.222262784509411e-5,-0.001603947049288227,Good,Good
4. Lower middle income,C_Risk_Red_Ratio,-1.960172754035907e-5,0.0154994766169781,233365,3.20847878954541e-5,-0.015363790680427966,Bad,Bad
4. Lower middle income,N_export,0.024346225,1.8842536987072105,215443572,1.2837267941674918e-4,1.139449615214152,Bad,Bad
4. Lower middle income,N_Ret_Ratio,-5.845561e-4,0.10189476846250412,162435799,7.994862746174466e-6,-0.07331261158417872,Bad,Bad
4. Lower middle income,Nature_Access,-2024.7249,214421.6474515612,4991008,95.97861872098794,-8.328890496841145,Bad,Bad
4. Lower middle income,Pollination,0.008710076,0.18812687109232443,42475338,2.8865721067451542e-5,7.377491229922769,Good,Good
4. Lower middle income,Sed_export,0.17671084,48.283202282747645,181820521,0.003580755083186294,2.195608771383011,Bad,Bad
4. Lower middle income,Sed_Ret_Ratio,-2.1230966e-4,0.06474616906873479,172111927,4.93524359370664e-6,-0.02375867932901708,Bad,Bad
5. Low income,C_Risk,6.016774536343874e-5,0.0600609676975631,59930,2.453410312293225e-4,0.002656919120221586,Bad,Bad
5. Low income,C_Risk_Red_Ratio,-1.495861325462e-4,0.0230351052215733,59930,9.409532823371487e-5,-0.13805643624926764,Bad,Bad
5. Low income,N_export,0.018688938,0.7469368092156551,175524744,5.637865202152334e-5,2.0046786605892013,Bad,Bad
5. Low income,N_Ret_Ratio,6.823227e-4,0.08885542935654275,137881895,7.567115241157222e-6,0.06446629068911612,Good,Good
5. Low income,Nature_Access,-1483.5708,93495.36168085843,4269626,45.24755835033831,-13.111823062816233,Bad,Bad
5. Low income,Pollination,0.00165639,0.06718002431316815,23405002,1.3886276718270032e-5,5.369848787419131,Good,Good
5. Low income,Sed_export,0.14459403,33.47850012032299,145182655,0.0027784886413490897,1.2988515432129788,Bad,Bad
5. Low income,Sed_Ret_Ratio,-2.7523222e-4,0.03611219266244255,138162178,3.0722692446097054e-6,-0.0287965364893768,Bad,Bad
